g.nR.d	g.nR.s	l.cnt	g_entrez_emt	g_tcga_gbm	g_escSig_eed	g_escSig_esTF	g_escSig_exp1	g_escSig_exp2	g_escSig_h3k27	g_escSig_myc	g_escSig_nanog	g_escSig_nos	g_escSig_oct4	g_escSig_prc2	g_escSig_sox2	g_escSig_suz12	g_fa	g_scm_pluri	g_siR	g_entrez_Ca
25849	DKFZP564O0823	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
25884	CHRDL2	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
25903	OLFML2B	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
25927	C2orf32	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
25975	EGFL6	5	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1
26257	NKX2-8	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
26273	FBXO3	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
26280	IL1RAPL2	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
26281	FGF20	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
26468	LHX6	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
26507	CNNM1	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
27012	KCNV1	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
27022	FOXD3	6	0	0	1	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0
27023	FOXB1	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
27123	DKK2	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
27253	PCDH17	5	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1
27319	BHLHB5	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
27330	RPS6KA6	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
27344	PCSK1N	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
28231	SLCO4A1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
28984	C13orf15	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
29091	STXBP6	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
29767	TMOD2	5	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0
29953	TRHDE	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
30009	TBX21	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
30062	RAX	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
30813	VSX1	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
49856	WDR8	5	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0
50506	DUOX2	5	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1
50674	NEUROG3	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
50801	KCNK4	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
50805	IRX4	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
50846	DHH	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
50859	SPOCK3	5	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1
50945	TBX22	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
51214	IGF2AS	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
51352	WIT1	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
51384	WNT16	5	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1
51440	HPCAL4	5	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1
51673	TPPP3	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
53905	DUOX1	5	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1
54112	GPR88	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
54508	FLJ11235	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
54567	DLL4	5	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1
54626	HES2	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
54738	FEV	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
54790	KIAA1546	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
54798	DCHS2	5	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1
54847	SIDT1	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
54886	RP11-35N6.1	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
54897	CASZ1	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
55061	SUSD4	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
55079	FEZF2	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
55118	CRTAC1	5	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1
55283	MCOLN3	5	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1
55336	FBXL8	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
55340	GIMAP5	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
55450	CAMK2N1	5	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1
55509	BATF3	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
55521	TRIM36	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
55531	ELMOD1	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
55733	HHAT	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
55803	CENTA2	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
55897	MESP1	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
56033	BARX1	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
56288	PARD3	3	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
56603	CYP26B1	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
56659	KCNK13	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
56660	KCNK12	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
56751	BARHL1	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
56901	NDUFA4L2	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
56934	CA10	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
57214	KIAA1199	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
57332	CBX8	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
57348	TTYH1	5	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1
57369	GJA9	5	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1
57393	TMEM27	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
57453	DSCAML1	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
57535	KIAA1324	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
57569	ARHGAP20	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
57631	LRCH2	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
57732	ZFYVE28	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
57795	FAM5B	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
58157	NGB	3	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
58191	CXCL16	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
58524	DMRT3	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
59271	C21orf63	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
59335	PRDM12	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
60495	HPSE2	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
60529	ALX4	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
60675	PROK2	5	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1
63876	PKNOX2	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
63973	NEUROG2	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
64064	OXCT2	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
64072	CDH23	5	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1
64084	CLSTN2	5	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1
64097	EPB41L4A	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
64211	LHX5	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
64221	ROBO3	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
64321	SOX17	5	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0
64377	CHST8	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
64399	HHIP	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
64478	CSMD1	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
64843	ISL2	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
79191	IRX3	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
79365	BHLHB3	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
79589	RNF128	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
79693	YRDC	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
79836	LONRF3	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
79890	RIN3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
79962	FLJ13236	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
79966	SCD5	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
79971	GPR177	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
80000	KIAA1772	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
80031	SEMA6D	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
80086	TUBA4B	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
80235	PIGZ	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
80326	WNT10A	5	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1
80712	ESX1	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
80818	ZNF436	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
80854	SETD7	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
81035	COLEC12	5	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1
81621	KAZALD1	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
81796	SLCO5A1	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
83550	GPR101	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
83593	RASSF5	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
83595	SOX7	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
83715	ESPN	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
83850	FAM62C	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
84079	ANKRD27	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
84084	RAB6C	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
84107	ZIC4	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
84109	GPR103	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
84210	ANKRD20A1	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
84225	ZMYND15	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
84366	PRAC	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
84465	MEGF11	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
84504	NKX6-2	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
84525	HOPX	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
84570	COL25A1	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
84618	NT5C1A	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
84623	KIRREL3	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
84628	NTNG2	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
84667	HES7	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
84684	INSM2	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
84709	OSAP	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
84803	MAG1	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
84858	ZNF503	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
84913	ATOH8	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
84940	CORO6	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
84966	IGSF21	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
85301	COL27A1	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
85376	KIAA1666	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
85480	TSLP	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
89780	WNT3A	5	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1
89797	NAV2	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
89876	C3orf15	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
89884	LHX4	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
90527	DUOXA1	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
90952	ESAM	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
91607	SLFN11	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
91683	SYT12	5	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1
92162	TMEM88	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
92736	OTOP2	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
94027	CGB7	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
94115	CGB8	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
113091	TIP39	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
114088	TRIM9	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
114788	CSMD3	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
114798	SLITRK1	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
114815	SORCS1	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
116372	LYPD1	4	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0
116443	GRIN3A	5	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1
117154	DACH2	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
123041	SLC24A4	5	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1
124590	USH1G	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
124842	TMEM132E	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
124872	B4GALNT2	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
127003	C1orf194	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
127435	PODN	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
127687	C1orf122	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
128408	BHLHB4	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
129804	FBLN7	5	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1
130367	SGPP2	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
130497	OSR1	6	0	0	1	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0
132946	ARL9	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
133060	OTOP1	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
138649	ANKRD19	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
139065	SLITRK4	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
140578	CHODL	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
140679	SLC32A1	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
140689	CBLN4	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
140851	MT1P3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
143903	LAYN	5	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0
144165	PRICKLE1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
145258	GSC	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
145581	LRFN5	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
145741	NLF1	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
145773	FAM81A	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
146225	CMTM2	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
147372	CCBE1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
147912	SIX5	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
148641	SLC35F3	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
148753	C1orf76	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
148898	C1orf213	5	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0
149499	C1orf92	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
150221	LOC150221	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
150538	FLJ32063	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
151278	CCDC140	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
151354	FAM84A	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
151449	GDF7	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
151647	FAM19A4	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
153571	C5orf38	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
153684	LOC153684	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
154796	AMOT	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
159296	NKX2-3	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
161198	CLEC14A	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
161291	TMEM30B	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
161436	EML5	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
162417	NAGS	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
162517	FBXO39	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
163933	FAM43B	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
166614	DCLK2	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
170689	ADAMTS15	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
170692	ADAMTS18	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
196883	ADCY4	5	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1
200030	NBPF11	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
200350	FOXD4L1	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
200403	VWA3B	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
201780	SLC10A4	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
203111	C8orf47	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
219409	GSX1	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
219623	TMEM26	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
220164	DOK6	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
220323	OAF	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
253650	ANKRD18A	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
254251	LCORL	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
255119	C4orf22	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
255631	COL24A1	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
255743	NPNT	5	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1
256297	PTF1A	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
256586	LYSMD2	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
256714	MAP7D2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
257019	FRMD3	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
266722	HS6ST3	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
266743	NPAS4	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
283078	MKX	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
283212	FLJ33790	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
283392	LOC283392	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
283417	DPY19L2	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
284207	METRNL	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
284273	ZADH2	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
284654	RSPO1	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
284716	FAM80A	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
286380	FOXD4L2	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
326343	MT1DP	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
338557	GPR120	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
338917	VSX2	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
339479	FAM5C	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
339488	TFAP2E	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
339855	KY	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
340419	RSPO2	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
340529	RBM32A	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
340595	ZCCHC16	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
340665	CYP26C1	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
340784	HMX3	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
341359	SYT10	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
343472	BARHL2	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
343990	C2orf55	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
344018	FIGLA	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
347730	LRRTM1	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
347741	OTOP3	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
349152	DPY19L2P2	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
349334	FOXD4L4	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
349667	RTN4RL2	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
353500	BMP8A	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
374378	GALNTL4	5	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1
375061	FAM89A	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
387054	FOXD4L3	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
387597	C1orf32	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
387914	TMEM46	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
388336	FLJ45455	5	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0
388394	RPRML	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
388407	C17orf82	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
388531	RGS9BP	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
388605	HS6ST1P	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
389002	ANKRD20B	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
389064	FLJ46347	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
389289	C5orf39	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
389658	UNQ9433	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
389792	IER5L	6	0	0	1	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0
392255	GDF6	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
399694	SHC4	4	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
